100.0;Massachusetts Institute of Technology (MIT);United States
99.4;University of Cambridge University of Cambridge;United Kingdom
99.4;Imperial College London Imperial College London;United Kingdom
99.3;Harvard University;United States
99.2;University of Oxford;United Kingdom
99.2;UCL (University College London) UCL (University College London);United Kingdom
98.3;Stanford University;United States
97.1;California Institute of Technology (Caltech) California Institute of Technology (Caltech);United States
96.6;Princeton University;United States
96.5;Yale University Yale University;United States
95.5;University of Chicago University of Chicago;United States
95.3;ETH Zurich - Swiss Federal Institute of Technology ETH Zurich - Swiss Federal Institute of Technology;Switzerland
94.5;University of Pennsylvania;United States
94.1;Columbia University;United States
94.1;Johns Hopkins University;United States
92.9;King's College London (KCL);United Kingdom
92.8;University of Edinburgh;United Kingdom
92.8;EPFL (Ecole Polytechnique Fédérale de Lausanne);Switzerland
92.6;Cornell University;United States
92.4;University of Toronto;Canada
91.5;McGill University;Canada
91.1;National University of Singapore (NUS);Singapore
90.3;University of Michigan;United States
90.2;Ecole normale supérieure, Paris;France
89.7;The Australian National University The Australian National University;Australia
89.7;Duke University;United States
89.5;University of California, Berkeley (UCB);United States
88.8;The University of Hong Kong The University of Hong Kong;Hong Kong
88.5;University of Bristol University of Bristol;United Kingdom
86.9;The University of Manchester;United Kingdom
86.7;The University of Tokyo;Japan
86.7;Seoul National University;South Korea
86.5;The University of Melbourne The University of Melbourne;Australia
86.0;Northwestern University;United States
85.0;Ecole Polytechnique;France
84.7;Kyoto University;Japan
84.3;UCLA;United States
84.3;The University of Sydney The University of Sydney;Australia
84.0;Nanyang Technological University (NTU) Nanyang Technological University (NTU);Singapore
83.3;The Hong Kong University of Science and Technology The Hong Kong University of Science and Technology;Hong Kong
82.5;New York University (NYU);United States
82.5;University of Wisconsin-Madison;United States
82.4;University of British Columbia;Canada
82.4;The University of Queensland The University of Queensland;Australia
82.0;University of Copenhagen;Denmark
81.9;The Chinese University of Hong Kong The Chinese University of Hong Kong;Hong Kong
81.3;Tsinghua University Tsinghua University;China
81.2;The University of New South Wales The University of New South Wales;Australia
81.1;Ruprecht-Karls-Universität Heidelberg;Germany
80.5;University of Amsterdam University of Amsterdam;Netherlands
79.9;KAIST - Korea Advanced Institute of Science & Technology;South Korea
79.8;Ludwig-Maximilians-Universität München;Germany
79.8;Brown University;United States
79.7;Technische Universität München;Germany
79.6;Osaka University;Japan
79.6;University of Glasgow University of Glasgow;United Kingdom
78.8;Peking University;China
78.8;UZH;Switzerland
78.6;University of California, San Diego (UCSD);United States
78.3;Lund University;Sweden
78.1;The University of Warwick The University of Warwick;United Kingdom
77.5;University of North Carolina, Chapel Hill;United States
76.9;University of Illinois at Urbana-Champaign;United States
76.7;University of Birmingham University of Birmingham;United Kingdom
76.5;University of Washington;United States
76.5;Carnegie Mellon University;United States
76.4;University of Helsinki;Finland
76.3;Tokyo Institute of Technology;Japan
75.7;The University of Sheffield;United Kingdom
75.5;Monash University Monash University;Australia
75.3;Fudan University;China
75.3;London School of Economics and Political Science (LSE) London School of Economics and Political Science (LSE);United Kingdom
75.3;Tohoku University;Japan
75.3;Trinity College Dublin;Ireland
75.2;Leiden University;Netherlands
75.1;National Taiwan University (NTU);Taiwan
74.9;The University of Nottingham;United Kingdom
74.8;Boston University;United States
74.6;University of Texas at Austin;United States
74.5;Utrecht University Utrecht University;Netherlands
74.2;Uppsala University;Sweden
74.1;KU Leuven;Belgium
73.6;Université de Montréal;Canada
73.3;University of Alberta;Canada
73.1;University of Geneva;Switzerland
72.9;Delft University of Technology;Netherlands
72.9;Pohang University of Science And Technology (POSTECH);South Korea
72.7;University of St Andrews University of St Andrews;United Kingdom
72.6;The University of Western Australia The University of Western Australia;Australia
72.1;University of Groningen University of Groningen;Netherlands
72.1;Erasmus University Rotterdam;Netherlands
72.0;The University of Auckland;New Zealand
72.0;Durham University Durham University;United Kingdom
71.9;University of Southampton;United Kingdom
71.7;University of California, Davis;United States
71.6;Aarhus University;Denmark
71.3;University of Leeds;United Kingdom
71.2;Queen Mary University of London (QMUL) Queen Mary University of London (QMUL);United Kingdom
70.8;Washington University in St. Louis;United States
70.5;The University of Adelaide;Australia
70.1;University of Oslo;Norway
69.5;Purdue University;United States
69.4;Nagoya University;Japan
69.1;Shanghai Jiao Tong University;China
68.9;University of Lausanne;Switzerland
68.4;Yonsei University;South Korea
68.3;Georgia Institute of Technology;United States
68.2;City University of Hong Kong;Hong Kong
68.1;Ohio State University;United States
67.9;KTH, Royal Institute of Technology;Sweden
67.7;University of Pittsburgh;United States
67.5;Pennsylvania State University;United States
67.4;McMaster University;Canada
66.9;Lomonosov MSU;Russia
66.2;Université Pierre et Marie Curie (UPMC);France
66.0;Korea University;South Korea
66.0;University of Basel;Switzerland
65.8;Maastricht University Maastricht University;Netherlands
65.7;University of Minnesota;United States
65.1;University of York University of York;United Kingdom
64.8;Universität Freiburg;Germany
64.7;University of Maryland, College Park;United States
64.5;Cardiff University Cardiff University;United Kingdom
64.5;University of Liverpool;United Kingdom
64.5;Technical University of Denmark;Denmark
64.4;Kyushu University;Japan
64.3;Karlsruhe Institute of Technology (KIT);Germany
64.3;Newcastle University Newcastle University;United Kingdom
64.2;University of Ghent;Belgium
64.2;Rice University;United States
64.0;University of Southern California;United States
63.9;Universidade de São Paulo (USP);Brazil
63.9;UCSB;United States
63.7;Humboldt-Universität zu Berlin;Germany
63.4;Hokkaido University;Japan
63.3;Dartmouth College;United States
62.9;University of Aberdeen University of Aberdeen;United Kingdom
62.7;The Hebrew University of Jerusalem;Israel
62.6;University College Dublin;Ireland
62.2;Sungkyunkwan University;South Korea
62.0;University of Cape Town;South Africa
62.0;Eberhard Karls Universität Tübingen;Germany
62.0;University of Virginia;United States
61.9;Zhejiang University;China
61.8;University of Bern;Switzerland
61.5;Georg-August-Universität Göttingen;Germany
61.2;RWTH Aachen University;Germany
61.2;University of Science and Technology of China;China
61.2;Eindhoven University of Technology;Netherlands
61.1;Freie Universität Berlin;Germany
61.0;Universiti Malaya (UM);Malaysia
61.0;Wageningen University;Netherlands
60.8;UC Irvine - Extension, English and Certificates for Internationals UC Irvine - Extension, English and Certificates for Internationals;United States
60.7;Université Catholique de Louvain (UCL);Belgium
60.3;University of Bergen;Norway
60.0;University of Vienna;Austria
60.0;Radboud University Nijmegen Radboud University Nijmegen;Netherlands
60.0;Emory University;United States
59.9;University of Otago;New Zealand
59.7;Lancaster University;United Kingdom
59.6;The University of Exeter The University of Exeter;United Kingdom
59.3;Nanjing University;China
59.3;The Hong Kong Polytechnic University;Hong Kong
59.0;University of Rochester;United States
58.8;Texas A&M University;United States
58.7;University of Barcelona;Spain
58.3;Pontificia Universidad Católica de Chile (UC);Chile
58.3;National Tsing Hua University;Taiwan
57.8;University of Waterloo University of Waterloo;Canada
57.7;Queen's University of Belfast;United Kingdom
57.6;VU University Amsterdam VU University Amsterdam;Netherlands
57.6;University of Calgary;Canada
57.5;Universitat Autònoma de Barcelona;Spain
57.5;Université Libre de Bruxelles (ULB);Belgium
56.9;Universidad Nacional Autónoma de México (UNAM);Mexico
56.9;Chalmers University of Technology;Sweden
56.8;Rheinische Friedrich-Wilhelms-Universität Bonn;Germany
56.5;Universidad Autónoma de Madrid Universidad Autónoma de Madrid;Spain
56.3;École Normale Supérieure de Lyon;France
56.3;University of Bath University of Bath;United Kingdom
56.2;Vrije Universiteit Brussel (VUB);Belgium
55.8;University of Bologna University of Bologna;Italy
55.8;Stockholm University;Sweden
55.8;University of Colorado Boulder;United States
55.8;Vanderbilt University;United States
55.7;University of Illinois at Chicago;United States
55.5;Queen's University, Ontario;Canada
55.5;Aalto University;Finland
55.4;Case Western Reserve University;United States
55.3;Technion - Israel Institute of Technology;Israel
55.2;Western University Western University;Canada
54.9;Technische Universität Berlin;Germany
54.9;Universität Hamburg;Germany
54.9;University of Florida;United States
54.6;Michigan State University;United States
54.6;Tel Aviv University;Israel
54.4;Keio University;Japan
54.3;Universidad de Buenos Aires;Argentina
54.3;University of Tsukuba;Japan
53.9;University of Sussex University of Sussex;United Kingdom
53.9;Georgetown University;United States
53.8;Sapienza University of Rome;Italy
53.8;University of Reading University of Reading;United Kingdom
53.8;National Chiao Tung University;Taiwan
53.6;University of Antwerp;Belgium
53.5;Universidade estadual de Campinas(Unicamp);Brazil
53.5;University of Gothenburg;Sweden
53.4;University of Turku;Finland
53.3;Université Paris-Sud 11;France
53.0;Université Paris Diderot - Paris 7;France
52.7;University of Leicester;United Kingdom
52.2;University Complutense Madrid;Spain
52.2;University of Twente;Netherlands
51.9;Tufts University;United States
51.8;Université Joseph Fourier - Grenoble 1;France
51.8;University of Arizona;United States
51.6;Universität Frankfurt am Main;Germany
51.3;University of Ottawa;Canada
51.1;Hanyang University;South Korea
50.9;Universidad de Chile;Chile
50.9;Waseda University;Japan
50.7;Indian Institute of Technology Bombay (IITB);India
50.7;Simon Fraser University;Canada
50.7;Sciences Po Paris;France
50.5;King Fahd University of Petroleum & Minerals;Saudi Arabia
50.4;Université de Strasbourg;France
50.3;Université Paris-Sorbonne (Paris IV);France
50.0;Université Paris 1 Panthéon-Sorbonne;France
49.9;Politecnico di Milano Politecnico di Milano;Italy
49.5;University College Cork;Ireland
49.5;University of Dundee University of Dundee;United Kingdom
49.3;National Cheng Kung University;Taiwan
49.2;Saint-Petersburg State University;Russia
49.1;Technische Universität Dresden;Germany
48.6;Indian Institute of Technology Delhi (IITD);India
48.6;Dalhousie University;Canada
48.5;University of Notre Dame;United States
48.2;University of Milano;Italy
47.6;University of Miami;United States
47.4;Beijing Normal University;China
47.4;University of East Anglia (UEA) University of East Anglia (UEA);United Kingdom
47.2;University of Canterbury;New Zealand
47.1;Chulalongkorn University;Thailand
47.0;Charles University;Czech Republic
46.9;University of Pisa University of Pisa;Italy
46.4;Norwegian University of Science And Technology;Norway
46.4;Vienna University of Technology;Austria
46.4;University of Strathclyde University of Strathclyde;United Kingdom
46.2;Westfälische Wilhelms-Universität Münster;Germany
46.2;King Saud University;Saudi Arabia
46.2;American University of Beirut (AUB);Lebanon
46.2;Universität Ulm;Germany
46.1;Tec de Monterrey;Mexico
45.8;Macquarie University Macquarie University;Australia
45.8;University of Navarra;Spain
45.6;National Yang Ming University;Taiwan
45.5;Mahidol University;Thailand
45.5;The University of Newcastle, Australia (UoN) The University of Newcastle, Australia (UoN);Australia
45.4;Universiti Kebangsaan Malaysia (UKM);Malaysia
45.4;University of Oulu;Finland
45.2;University of California, Riverside;United States
45.1;University of Padua;Italy
45.1;Universidad de Los Andes Colombia;Colombia
45.0;University of Technology, Sydney University of Technology, Sydney;Australia
44.9;Loughborough University Loughborough University;United Kingdom
44.9;University of California, Santa Cruz;United States
44.8;Umeå universitet;Sweden
44.8;University of Eastern Finland;Finland
44.7;Technische Universität Darmstadt;Germany
44.7;University of Iowa;United States
44.5;Universidade Federal do Rio de Janeiro;Brazil
44.4;Indiana University Bloomington;United States
44.4;Université de Liège;Belgium
44.3;Universität Stuttgart;Germany
44.2;Victoria University of Wellington;New Zealand
44.2;Kyung Hee University;South Korea
44.2;Royal Holloway University of London;United Kingdom
44.0;Université Paris Descartes;France
43.7;Rutgers, The State University of New Jersey, New Brunswick;United States
43.6;National University of Ireland, Galway;Ireland
43.6;Yeshiva University;United States
43.5;University of Massachusetts Amherst;United States
43.4;Linköping University;Sweden
43.4;University of Wollongong University of Wollongong;Australia
43.2;QUT QUT;Australia
43.2;Friedrich-Alexander-Universität Erlangen-Nürnberg;Germany
43.1;Universidad Austral;Argentina
42.9;Leopold-Franzens-Universität Innsbruck;Austria
42.3;Universität Leipzig;Germany
42.2;University of Victoria;Canada
42.2;École des Ponts ParisTech;France
42.1;Ben Gurion University of The Negev;Israel
42.0;University of Porto;Portugal
41.9;Arizona State University Arizona State University;United States
41.9;Kobe University;Japan
41.9;Universiti Teknologi Malaysia (UTM);Malaysia
41.9;TMDU;Japan
41.7;Universitat Pompeu Fabra;Spain
41.7;Laval University;Canada
41.6;Indian Institute of Technology Kanpur (IITK);India
41.6;George Washington University George Washington University;United States
41.6;Johannes Gutenberg Universität Mainz;Germany
41.6;University at Buffalo SUNY;United States
41.5;Royal Melbourne Institute of Technology Royal Melbourne Institute of Technology;Australia
41.3;Università degli Studi di Roma - Tor Vergata;Italy
41.3;Universität zu Köln;Germany
41.3;Al-Farabi Kazakh National University Al-Farabi Kazakh National University;Kazakhstan
41.1;University of Southern Denmark;Denmark
41.0;Universiti Sains Malaysia (USM);Malaysia
40.9;UNIVERSITAS INDONESIA;Indonesia
40.9;Universität Konstanz;Germany
40.8;Universidade NOVA de Lisboa Universidade NOVA de Lisboa;Portugal
40.7;University of Utah;United States
40.5;Hiroshima University;Japan
40.5;University of Surrey University of Surrey;United Kingdom
40.4;Universidad Nacional de Colombia;Colombia
40.4;Brandeis University;United States
40.3;University of the Witwatersrand University of the Witwatersrand;South Africa
40.3;University of Jyväskylä;Finland
40.3;Hong Kong Baptist University;Hong Kong
40.2;Sun Yat-sen University;China
40.1;IIT MADRAS;India
40.1;Bauman Moscow State Technical University Bauman Moscow State Technical University;Russia
40.0;IIT-KGP;India
40.0;Griffith University Griffith University;Australia
40.0;L.N. Gumilyov Eurasian National University L.N. Gumilyov Eurasian National University;Kazakhstan
40.0;University of Hawaii at Mañoa;United States
39.9;Nankai University;China
39.9;Novosibirsk State University;Russia
39.9;Universität Mannheim;Germany
39.8;SOAS, University of London SOAS, University of London;United Kingdom
39.8;Curtin University Curtin University;Australia
39.7;University of South Australia University of South Australia;Australia
39.6;King Abdul Aziz University (KAU);Saudi Arabia
39.5;University of Warsaw;Poland
39.5;Wuhan University;China
39.3;Universitat Politècnica de Catalunya;Spain
39.2;Ecole Normale Supérieure de Cachan;France
39.2;University of Tromso;Norway
39.2;Wake Forest University;United States
39.1;Université Aix-Marseille;France
39.1;City University London City University London;United Kingdom
39.1;Boston College;United States
39.1;Julius-Maximilians-Universität Würzburg;Germany
39.0;University of Naples - Federico Ii;Italy
38.9;Massey University;New Zealand
38.8;Pontificia Universidad Javeriana;Colombia
38.5;Universität Bremen;Germany
38.5;Iowa State University;United States
38.4;James Cook University James Cook University;Australia
38.3;University of Coimbra;Portugal
38.1;University of Florence;Italy
38.1;Heriot-Watt University;United Kingdom
38.1;Stony Brook University;United States
38.0;Universidad Carlos III de Madrid;Spain
38.0;Virginia Tech;United States
38.0;Ewha Womans University;South Korea
38.0;Brunel University London Brunel University London;United Kingdom
37.7;Rensselaer Polytechnic Institute;United States
37.5;Deakin University Deakin University;Australia
37.5;The American University in Cairo;Egypt
37.4;Tampere University of Technology;Finland
37.3;Université de Bordeaux;France
37.3;Aalborg University Aalborg University;Denmark
37.1;Politecnico di Torino;Italy
37.0;Dublin City University;Ireland
36.9;University of the Philippines;Philippines
36.9;Tilburg University;Netherlands
36.9;Université Paris-Dauphine;France
36.8;University of Essex University of Essex;United Kingdom
36.6;Jagiellonian University;Poland
36.6;Università degli Studi di Pavia;Italy
36.6;National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology);Taiwan
36.6;University of Kansas;United States
36.5;University of Mississippi;United States
36.4;Universiti Putra Malaysia (UPM);Malaysia
36.2;Università Cattolica del Sacro Cuore;Italy
36.2;University of Texas at Dallas;United States
36.1;University of Tartu;Estonia
36.1;Washington State University;United States
36.1;Oxford Brookes University Oxford Brookes University;United Kingdom
36.1;Taipei Medical University;Taiwan
36.1;Xi'an Jiaotong University;China
36.0;Sogang University;South Korea
35.9;Politécnica de Madrid;Spain
35.9;United Arab Emirates University;United Arab Emirates
35.9;University of Tampere;Finland
35.8;Ruhr-Universität Bochum;Germany
35.8;North Carolina State University;United States
35.6;Stellenbosch University;South Africa
35.6;American University of Sharjah (AUS);United Arab Emirates
35.6;Aston University Aston University;United Kingdom
35.5;Tongji University;China
35.2;University of Turin;Italy
35.0;Universität Regensburg;Germany
34.9;Christian-Albrechts-Universität zu Kiel;Germany
34.8;Universität Jena;Germany
34.8;University of New Mexico;United States
34.7;Bilkent University;Turkey
34.7;Bogazici University;Turkey
34.7;MGIMO-University MGIMO-University;Russia
34.7;Northeastern University;United States
NA;Université Claude Bernard Lyon 1;France
NA;Middle East Technical University;Turkey
NA;Institut National des Sciences Appliquées de Lyon (INSA);France
NA;Instituto Tecnológico de Buenos Aires (ITBA);Argentina
NA;La Trobe University La Trobe University;Australia
NA;National Central University;Taiwan
NA;Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA;Argentina
NA;University of Connecticut;United States
NA;University of Tasmania University of Tasmania;Australia
NA;University of Waikato;New Zealand
NA;National Taiwan Normal University;Taiwan
NA;Karl-Franzens-Universität Graz;Austria
NA;University of Trento;Italy
NA;Czech Technical University In Prague;Czech Republic
NA;Lincoln University Lincoln University;New Zealand
NA;MIPT;Russia
NA;Universität Düsseldorf;Germany
NA;Université Montpellier 2, Sciences et Techniques du Languedoc;France
NA;University of Delhi;India
NA;York University;Canada
